,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match id
598,101*,195,121,10,0,83.47,3,not out,1,ODI v South Africa,Eden Gardens,5 Nov 2023,ODI # 4694
599,51,69,56,5,1,91.07,3,bowled,1,ODI v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
600,117,149,113,9,2,103.53,3,caught,1,ODI v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
601,54,99,63,4,0,85.71,3,bowled,1,ODI v Australia,Ahmedabad,19 Nov 2023,ODI # 4705
602,38,96,64,5,0,59.37,4,caught,1,Test v South Africa,Centurion,26 Dec 2023,Test # 2520
603,76,137,82,12,1,92.68,4,caught,3,Test v South Africa,Centurion,26 Dec 2023,Test # 2520
604,46,103,59,6,1,77.96,4,caught,2,Test v South Africa,Cape Town,3 Jan 2024,Test # 2522
605,12,13,11,2,0,109.09,4,caught,4,Test v South Africa,Cape Town,3 Jan 2024,Test # 2522
606,29,20,16,5,0,181.25,3,caught,2,T20I v Afghanistan,Indore,14 Jan 2024,T20I # 2431
607,0,1,1,0,0,0.00,3,caught,1,T20I v Afghanistan,Bengaluru,17 Jan 2024,T20I # 2435
608,1,13,5,0,0,20.00,2,caught,2,T20I v Ireland,New York,5 Jun 2024,T20I # 2639
609,4,7,3,1,0,133.33,2,caught,1,T20I v Pakistan,New York,9 Jun 2024,T20I # 2658
610,0,1,1,0,0,0.00,2,caught,2,T20I v U.S.A.,New York,12 Jun 2024,T20I # 2671
611,24,41,24,0,1,100.00,2,caught,1,T20I v Afghanistan,Bridgetown,20 Jun 2024,T20I # 2710
612,37,34,28,1,3,132.14,2,bowled,1,T20I v Bangladesh,North Sound,22 Jun 2024,T20I # 2716
613,0,8,5,0,0,0.00,2,caught,1,T20I v Australia,Gros Islet,24 Jun 2024,T20I # 2721
614,9,10,9,0,1,100.00,2,bowled,1,T20I v England,Providence,27 Jun 2024,T20I # 2724
615,76,87,59,6,2,128.81,2,caught,1,T20I v South Africa,Bridgetown,29 Jun 2024,T20I # 2729
616,24,42,32,2,0,75.00,3,lbw,2,ODI v Sri Lanka,Colombo (RPS),2 Aug 2024,ODI # 4752
617,14,27,19,2,0,73.68,3,lbw,2,ODI v Sri Lanka,Colombo (RPS),4 Aug 2024,ODI # 4753
618,20,29,18,4,0,111.11,3,lbw,2,ODI v Sri Lanka,Colombo (RPS),7 Aug 2024,ODI # 4754
619,6,9,6,0,0,100.00,4,caught,1,Test v Bangladesh,Chennai,19 Sep 2024,Test # 2550
620,17,43,37,2,0,45.94,4,lbw,3,Test v Bangladesh,Chennai,19 Sep 2024,Test # 2550
621,47,50,35,4,1,134.28,5,bowled,2,Test v Bangladesh,Kanpur,27 Sep 2024,Test # 2552
622,29*,40,37,4,0,78.37,4,not out,4,Test v Bangladesh,Kanpur,27 Sep 2024,Test # 2552
623,0,12,9,0,0,0.00,3,caught,1,Test v New Zealand,Bengaluru,16 Oct 2024,Test # 2555
624,70,136,102,8,1,68.62,3,caught,3,Test v New Zealand,Bengaluru,16 Oct 2024,Test # 2555
625,1,6,9,0,0,11.11,4,bowled,2,Test v New Zealand,Pune,24 Oct 2024,Test # 2557
626,17,55,40,2,0,42.50,4,lbw,4,Test v New Zealand,Pune,24 Oct 2024,Test # 2557
627,4,5,6,1,0,66.66,5,run out,2,Test v New Zealand,Wankhede,1 Nov 2024,Test # 2560
628,1,6,7,0,0,14.28,4,caught,4,Test v New Zealand,Wankhede,1 Nov 2024,Test # 2560
629,5,25,12,0,0,41.66,4,caught,1,Test v Australia,Perth,22 Nov 2024,Test # 2561
630,100*,226,143,8,2,69.93,4,not out,3,Test v Australia,Perth,22 Nov 2024,Test # 2561
631,7,8,8,1,0,87.50,4,caught,1,Test v Australia,Adelaide,6 Dec 2024,Test # 2568
632,11,31,21,1,0,52.38,4,caught,3,Test v Australia,Adelaide,6 Dec 2024,Test # 2568
633,3,25,16,0,0,18.75,4,caught,2,Test v Australia,Brisbane,14 Dec 2024,Test # 2570
634,DNB,-,-,-,-,-,-,-,4,Test v Australia,Brisbane,14 Dec 2024,Test # 2570
635,36,125,86,4,0,41.86,4,caught,2,Test v Australia,Melbourne,26 Dec 2024,Test # 2571
636,5,40,29,0,0,17.24,4,caught,4,Test v Australia,Melbourne,26 Dec 2024,Test # 2571
637,17,101,69,0,0,24.63,4,caught,1,Test v Australia,Sydney,3 Jan 2025,Test # 2575
638,6,14,12,1,0,50.00,4,caught,3,Test v Australia,Sydney,3 Jan 2025,Test # 2575
